pep	age	sex	region	income	married	children	car	save_act	current_act	mortgage
NO YES	continuous	FEMALE MALE	INNER_CITY RURAL SUBURBAN TOWN	continuous	NO YES	continuous	NO YES	NO YES	NO YES	NO YES
class										
YES	44	FEMALE	TOWN	15735.80	YES	1	NO	YES	YES	YES
NO	27	FEMALE	INNER_CITY	19868.00	YES	2	NO	YES	YES	NO
NO	39	FEMALE	INNER_CITY	29359.10	NO	3	YES	NO	YES	YES
NO	52	MALE	INNER_CITY	49175.70	YES	0	YES	YES	YES	NO
NO	28	FEMALE	TOWN	17240.60	YES	1	YES	NO	NO	YES
YES	65	MALE	TOWN	52255.90	NO	2	YES	YES	YES	NO
NO	29	FEMALE	RURAL	15237.60	YES	2	YES	NO	YES	NO
YES	50	MALE	TOWN	40972.90	NO	2	YES	YES	YES	YES
YES	47	MALE	INNER_CITY	42124.10	YES	2	NO	YES	YES	NO
YES	46	MALE	RURAL	21096.20	YES	1	YES	YES	YES	NO
NO	18	FEMALE	INNER_CITY	9990.11	YES	0	NO	YES	YES	NO
NO	36	MALE	TOWN	23894.80	YES	0	NO	NO	NO	NO
NO	26	FEMALE	RURAL	11299.30	YES	2	YES	NO	NO	NO
YES	22	FEMALE	SUBURBAN	11595.40	NO	0	YES	YES	YES	NO
NO	38	MALE	TOWN	24424.30	YES	0	NO	YES	YES	YES
YES	35	FEMALE	TOWN	20262.60	NO	0	NO	YES	NO	NO
YES	43	MALE	INNER_CITY	15254.80	YES	0	NO	NO	NO	NO
YES	41	MALE	INNER_CITY	23475.60	YES	0	YES	NO	YES	YES
NO	32	MALE	INNER_CITY	14511.80	NO	2	NO	YES	NO	YES
NO	47	FEMALE	INNER_CITY	26952.60	YES	0	YES	NO	YES	NO
NO	67	FEMALE	INNER_CITY	36095.90	YES	3	YES	YES	YES	NO
NO	27	MALE	SUBURBAN	12683.60	NO	3	NO	YES	YES	YES
YES	63	MALE	INNER_CITY	59409.10	NO	0	YES	YES	YES	NO
NO	58	FEMALE	TOWN	38248.30	YES	3	YES	YES	NO	NO
YES	64	MALE	INNER_CITY	54314.50	YES	1	YES	YES	NO	NO
NO	52	FEMALE	INNER_CITY	34253.60	NO	3	YES	NO	YES	NO
YES	48	MALE	INNER_CITY	34182.20	YES	2	NO	YES	YES	NO
NO	21	FEMALE	RURAL	10629.10	NO	3	NO	YES	YES	YES
NO	40	FEMALE	INNER_CITY	31774.10	YES	3	YES	YES	YES	YES
NO	57	FEMALE	RURAL	50576.30	YES	0	NO	YES	NO	NO
NO	49	FEMALE	SUBURBAN	26097.90	NO	2	NO	YES	YES	NO
YES	32	FEMALE	INNER_CITY	22446.50	NO	1	NO	NO	YES	YES
YES	60	MALE	INNER_CITY	29714.40	YES	0	YES	NO	YES	YES
NO	48	MALE	TOWN	28920.60	YES	0	NO	YES	NO	YES
YES	54	MALE	INNER_CITY	26707.90	YES	1	NO	YES	YES	YES
YES	67	MALE	INNER_CITY	50474.60	YES	2	YES	YES	YES	NO
YES	53	MALE	RURAL	48971.60	YES	3	YES	YES	NO	NO
NO	22	MALE	SUBURBAN	9316.98	YES	2	YES	YES	YES	NO
NO	40	MALE	INNER_CITY	36166.20	YES	0	NO	NO	NO	NO
YES	28	MALE	TOWN	13175.50	NO	1	NO	NO	YES	NO
YES	52	FEMALE	INNER_CITY	22792.30	YES	1	YES	YES	NO	NO
NO	22	MALE	INNER_CITY	19726.30	YES	2	NO	NO	YES	NO
NO	35	FEMALE	INNER_CITY	12125.80	NO	2	NO	YES	YES	NO
YES	51	MALE	RURAL	46323.80	YES	2	YES	YES	YES	YES
NO	27	MALE	SUBURBAN	17610.30	YES	0	NO	YES	YES	NO
