pep	age	sex	region	income	married	children	car	save_act	current_act	mortgage
NO YES	continuous	FEMALE MALE	INNER_CITY RURAL SUBURBAN TOWN	continuous	NO YES	continuous	NO YES	NO YES	NO YES	NO YES
class										
YES	36	MALE	TOWN	37330.50	NO	2	NO	YES	YES	NO
NO	57	MALE	TOWN	21612.60	YES	0	NO	YES	YES	YES
NO	30	MALE	TOWN	24867.60	YES	0	YES	YES	NO	NO
YES	61	MALE	INNER_CITY	49456.70	YES	1	YES	YES	YES	YES
YES	60	MALE	RURAL	56658.90	NO	0	NO	YES	YES	NO
NO	22	FEMALE	INNER_CITY	13739.00	YES	3	NO	YES	YES	NO
NO	66	FEMALE	TOWN	59803.90	YES	0	NO	YES	YES	NO
NO	63	MALE	TOWN	37414.70	NO	3	YES	YES	YES	NO
NO	30	FEMALE	INNER_CITY	14724.50	YES	0	YES	NO	YES	NO
YES	53	FEMALE	INNER_CITY	24042.00	NO	1	NO	NO	YES	NO
YES	52	FEMALE	RURAL	47835.80	NO	3	NO	YES	NO	NO
YES	39	MALE	TOWN	17270.10	NO	0	YES	NO	NO	NO
NO	30	FEMALE	INNER_CITY	24031.50	YES	2	YES	YES	YES	YES
NO	58	MALE	RURAL	49673.60	YES	0	NO	YES	YES	NO
NO	64	MALE	INNER_CITY	34073.80	YES	3	NO	YES	NO	YES
NO	57	FEMALE	RURAL	41438.20	NO	3	NO	YES	NO	NO
NO	61	FEMALE	RURAL	22942.90	YES	2	NO	YES	YES	NO
YES	22	MALE	INNER_CITY	14433.40	YES	0	YES	YES	YES	NO
NO	38	FEMALE	INNER_CITY	29622.00	NO	0	YES	YES	NO	YES
NO	25	FEMALE	INNER_CITY	15525.00	YES	0	NO	YES	YES	NO
NO	51	FEMALE	INNER_CITY	16575.40	YES	0	YES	YES	YES	NO
YES	43	FEMALE	TOWN	31273.80	NO	1	YES	YES	NO	NO
NO	29	MALE	INNER_CITY	10072.60	YES	0	NO	NO	YES	NO
NO	30	FEMALE	INNER_CITY	9672.25	YES	0	YES	YES	YES	NO
NO	21	MALE	TOWN	11281.50	YES	0	NO	YES	YES	YES
YES	19	MALE	INNER_CITY	10191.80	YES	0	NO	YES	YES	YES
YES	36	MALE	INNER_CITY	31982.00	YES	3	YES	YES	YES	YES
YES	53	FEMALE	TOWN	31334.80	YES	1	YES	YES	YES	NO
YES	43	FEMALE	RURAL	18565.80	YES	1	YES	YES	YES	YES
YES	64	FEMALE	INNER_CITY	31415.70	NO	1	YES	YES	NO	YES
NO	61	FEMALE	INNER_CITY	47025.00	NO	2	YES	YES	YES	YES
NO	21	FEMALE	TOWN	7549.38	NO	1	YES	NO	YES	NO
NO	29	FEMALE	INNER_CITY	12591.40	YES	1	NO	YES	YES	NO
NO	28	FEMALE	TOWN	23371.00	YES	2	NO	NO	YES	YES
YES	64	FEMALE	RURAL	49024.90	YES	3	NO	YES	YES	NO
NO	59	FEMALE	RURAL	51284.30	NO	0	YES	YES	YES	YES
NO	52	FEMALE	SUBURBAN	16716.10	NO	2	YES	YES	YES	NO
YES	48	FEMALE	INNER_CITY	16662.50	YES	1	NO	YES	YES	NO
NO	47	MALE	INNER_CITY	44682.10	YES	0	YES	YES	YES	NO
YES	18	MALE	RURAL	9362.58	YES	0	YES	NO	YES	YES
YES	56	FEMALE	TOWN	51299.30	YES	1	YES	YES	NO	NO
YES	61	MALE	RURAL	24270.10	YES	1	NO	NO	YES	NO
YES	59	FEMALE	INNER_CITY	23175.00	YES	0	NO	NO	NO	YES
NO	49	FEMALE	RURAL	33665.50	NO	3	YES	NO	YES	NO
NO	22	MALE	INNER_CITY	12640.30	NO	2	YES	YES	YES	NO
