LoaiKhachHang,GioiTinh,Tuoi,ThuNhap,TrinhDo,ChucVu,SoLanMua,GiaTri
Thuong VIP,Nam Nu,continuous,continuous,CD CH DH,Nhan\ vien Quan\ ly,continuous,continuous
class,,,,,,,
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nu,38,22,DH,Quan ly,5,16
VIP,Nam,40,25,CH,Quan ly,6,44
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nam,50,22,DH,Nhan vien,2,24
Thuong,Nam,34,20,CD,Quan ly,1,3
Thuong,Nam,50,22,DH,Nhan vien,2,24
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nam,46,24,DH,Quan ly,1,2
VIP,Nam,39,17,CD,Nhan vien,3,24
VIP,Nu,22,10,CD,Nhan vien,5,50
Thuong,Nam,39,17,CD,Nhan vien,3,24
VIP,Nu,22,10,CD,Nhan vien,5,50
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,46,24,DH,Quan ly,1,2
Thuong,Nam,30,21,DH,Nhan vien,3,10
VIP,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nu,37,30,CH,Quan ly,4,6
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,46,24,DH,Quan ly,1,2
VIP,Nam,40,25,CH,Quan ly,6,50
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,46,24,DH,Quan ly,1,2
Thuong,Nu,37,30,CH,Quan ly,4,6
Thuong,Nam,46,24,DH,Quan ly,1,2
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,50,22,DH,Nhan vien,2,24
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,46,24,DH,Quan ly,1,2
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,50,22,DH,Nhan vien,2,24
VIP,Nam,40,25,CH,Quan ly,6,45
Thuong,Nam,30,21,DH,Nhan vien,3,10
VIP,Nu,22,10,CD,Nhan vien,5,50
Thuong,Nam,50,22,DH,Nhan vien,2,24
Thuong,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nu,37,30,CH,Quan ly,4,6
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nu,37,30,CH,Quan ly,4,6
Thuong,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nu,37,30,CH,Quan ly,4,6
VIP,Nam,40,25,CH,Quan ly,6,50
Thuong,Nam,50,22,DH,Nhan vien,2,24
Thuong,Nu,37,30,CH,Quan ly,4,6
Thuong,Nam,39,17,CD,Nhan vien,3,24
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nu,46,29,CH,Quan ly,2,4
Thuong,Nam,29,15,DH,Nhan vien,3,30
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,39,17,CD,Nhan vien,3,22
Thuong,Nu,38,22,DH,Quan ly,5,16
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,34,20,CD,Nhan vien,1,3
Thuong,Nam,30,21,DH,Nhan vien,3,10
Thuong,Nam,46,24,DH,Quan ly,1,2
